Saliency,Classifier,Extractor,Concept Presence,Classes,Fin,Head,Ears,Muzzle,Paws,Tail,Body,Button,Speaker,Digital display,Chain bar,Rose window,Facade,Bell Tower,Bell,Cab,Wheel,Headlights,Hose,Tank,Nozzle,Golf ball dimples,Logo,Canopy,WOE Score
gradcam,resnet,florence,cas,tench,-0.4018936757405675,0.2963650496086456,-0.7163177557445686,0.5003557160195156,0.730965663725337,0.6476922772139224,0.3920203335246841,-1.2486775808020167,-2.098500363871607,-3.4192158584403423,-0.6304818146042825,-3.2809343289303987,-6.176406879931904,-2.0134114509322023,-0.6595884460006605,-1.2203858159057803,-0.968201969692368,-0.2222468064639258,-2.745850294992495,-1.5662628901156548,-6.0966229478678144,-2.389001699371227,-0.6865927777934149,0.1008665337837995,1.5222617895611066
gradcam,resnet,florence,cas,English springer,-0.1277759810539023,1.2419397193915822,-0.7917597703723303,1.1898241766136133,0.7932401066374757,1.5017929753750885,0.3580319660138382,-0.7828224620118909,-1.5386498460052471,-1.947330067498653,-0.6598574297577904,-1.5113487505344216,-5.902289185245239,-1.7010626740895765,0.0348243948730804,1.2466239610616148,-1.311307212854656,0.4349106624080676,-1.539552452290181,-1.938445091297865,-5.822505253181149,-1.929562226932859,-1.2282247602296468,-1.1481271670985769,11.553331613081758
gradcam,resnet,florence,cas,cassette player,-0.1045301767459654,-2.910555683500452,-0.0719939433515026,-1.5463404072956357,-1.8283224229521065,-1.7918009640548411,-2.882692525148263,2.0193096743524497,0.3166283344274303,1.4924777586998317,-0.069332322398139,-0.7169041575202315,-5.879043380937302,-0.891588788593364,-0.4403455932536193,-1.7553382239049695,-1.3639691699427263,0.1405735436102506,-0.9462691387272172,0.1969068797158364,-5.7992594488732125,0.0520322519499982,0.5421773782807269,-1.1248813627906404,9.00221601579603
gradcam,resnet,florence,cas,chain saw,-0.0293768502267512,0.0845400968430594,0.9317792400951532,0.0497192543174369,0.4438259181882424,-0.2739200388653122,0.5586170081508233,-0.0293768502267508,-0.1214122500102465,-1.166860881971112,0.1598810025105472,-1.0146130528770452,-5.803890054418089,0.1116698420003774,0.3578609622776885,-0.3509151876503198,0.2741959463682712,0.188386389038017,0.7392542205036989,0.3860379333164847,-5.724106122353998,-1.1488457176073772,-0.170551280068552,-0.0384850864137149,0.5687521066173682
gradcam,resnet,florence,cas,church,-0.0238340175867186,-1.7473810302496091,-2.3745309818801794,-2.128695123735054,-11.36065279561154,-2.5267008781426914,-2.614012623760205,-7.931135802304666,0.967206340382301,-2.2134637816842138,0.1354215469526769,1.6477198432721507,2.0142205574928727,1.4678111717651672,-0.6598037069967106,-0.8763227297225464,-2.7453969366311664,-1.211841641249415,-10.26735052526157,-0.8293645214794916,-5.718563289713966,-4.728914853344996,-0.4615034563046878,1.122399435300189,11.997060521291147
gradcam,resnet,florence,cas,French horn,-0.012674440896728,0.097365716541657,1.0075468758005344,0.3727932101859916,0.0113056546583183,-0.7918578836132251,0.1317339893465345,1.3368627946418554,-0.8627919659174301,-0.9858184077420722,0.0015937596706341,-1.8547818607541944,-5.787187645088065,-0.7383408105280904,0.4233939605992032,-2.7065213210801025,0.2863341915708555,-0.4076162884757899,-1.1277404224093566,-1.305384021504267,0.5733178757195387,-1.872622168355731,-0.9970428365355364,-1.6570871139633847,2.298013273392749
gradcam,resnet,florence,cas,garbage truck,0.0773769747726067,-0.35773231696299,-3.377463930127621,-1.146316805281958,-2.3804199902375847,-1.9206494693633,-0.2114460252073935,-7.829924809945341,0.7138875200727244,-1.1367513295189933,-0.1049203142088579,1.419660304524624,2.422667561785377,0.2845153748531952,-0.8639976749129659,1.602233711860637,1.741037334288622,0.3982352226655403,0.039712984029165,1.0759606113717437,-5.617352297354641,-2.545158497419554,0.8779398936708627,0.2043100415843879,7.8382656868312965
gradcam,resnet,florence,cas,gas pump,0.1297036367547579,-1.3301763692375863,0.5513349965350434,-0.6154962346927668,-1.6743642561688403,-0.7145292571086093,-1.17119150394827,-7.77759814796319,0.635703530815747,2.290525982514468,0.2333597897656805,0.7092334329401002,-5.644809567436579,0.5987907511416486,0.504462398659054,0.3464877316620254,0.7224505364554268,-0.1024869357802575,2.1506700690853826,0.9266053759981092,3.916768330001666,-1.0506682467887347,0.4213316951751473,0.5020908204700754,5.620518055844676
gradcam,resnet,florence,cas,golf ball,0.3238356526167005,-1.796950032018696,-0.3401481367017274,-0.6971423229826548,-1.060003673585756,-0.3670643600091758,-1.5541150375240242,-1.4660512737759483,-0.9747128608908112,-1.8657941114807943,0.2456454299989023,-1.9684480829348916,-5.450677551574636,-0.0032153997248429,0.6344453372024672,-2.243881385006718,-0.8678683197679247,-0.1937944140146128,-0.8174555513663049,0.1413885497500779,-5.370893619510547,3.535926836507749,0.5476419361304159,-2.277670965801149,4.894754050131132
gradcam,resnet,florence,cas,parachute,0.3424825659822268,0.8864017453987734,0.2767926049406024,0.1604056517353482,1.1401006452474585,0.6067558895493224,1.338317397229196,-7.564819218735721,0.1314372284874365,-5.073582439323401,0.6537909963258413,-2.536558087207605,-5.43203063820911,-0.0883296011532075,0.0499179685898552,-0.8599021648015479,-0.6615117158014301,0.2908878132258694,0.3637797286173128,0.135465124188264,-5.352246706145021,-1.165555625363336,-0.0848534262426503,0.6344979960752026,18.39262508285561
