Saliency,Classifier,Extractor,Concept Presence,Classes,Wall,Window,Roof,Facade,Tree,Vegetation,Rock,Ice,Mountain Peak,Boat,Beach,Water,Sky,Sidewalk,Streetlights,Car,WOE Score
gradcam,resnet,florence,cas,buildings,0.4102562864101315,1.2354483790856876,0.7125401417246173,-0.764760231689676,0.0159610861584267,-0.0218730297665539,-2.743317346755613,-2.752305137470522,-1.4858100302616484,-0.752657623326886,-1.5028451025715854,-1.285433770510524,-0.2684070552909285,-0.5512122118346299,0.2669541620389879,-0.4723505114069133,7.334329919770425
gradcam,resnet,florence,cas,forest,-2.168716780027854,-11.417926584612484,-3.025642076322022,-0.1762960571022573,-0.0647117853304277,-0.6529562386661611,-2.1257760812048656,-2.618044973849268,-5.564889747100929,-1.850487376154394,-0.7051673493125739,-1.8901124432572671,-1.818277862367946,-0.529535717978523,-2.1350435016255056,-10.38078634242678,4.101303243666981
gradcam,resnet,florence,cas,glacier,-0.3175406254412669,-3.1046739644692223,-1.613246034591123,0.1392157648883489,-1.3248931161971265,-0.9305584679611828,0.9129023539512378,1.1533253554309173,0.520326223568886,-0.3187423477232669,0.1057519533463509,0.3191582515135602,-0.1097103626049362,-1.1832742266635914,-2.412382703767796,-3.350021891438688,9.332167976574826
gradcam,resnet,florence,cas,mountain,-0.2207051105865409,-2.913625269969626,-1.036608838662852,0.3305365820455097,0.3740130299321285,0.0137927925708569,0.6338045026987116,0.2122064268000323,1.5258081104353696,-0.2474861865597373,0.1022251869605028,0.1982963527615828,0.5028848993494621,-1.2110948448162555,-1.0466010193393072,-3.101263080619769,3.0060364262092234
gradcam,resnet,florence,cas,sea,-0.3072144415815909,-2.454779333342864,-0.4259513785975839,0.1506233977491566,-1.2772234257154986,-0.2445005549515135,1.0663065446964932,1.0797660517816068,0.1921106511675379,0.8006900439502787,0.7247072518127289,1.2438238552609888,0.3823580926766423,-0.4829618607718871,-0.0007374039955421,-3.585728901621066,7.417727380027483
gradcam,resnet,florence,cas,street,1.1570731060975257,1.916144401471363,1.693041116624044,0.2637961425486932,1.1166259226940332,1.2559560048528615,-2.547447550643808,-1.4864385577921146,-1.1149861537111043,1.149369497757903,0.6266928573140487,-0.1695382044162487,0.5539024063806686,2.082968409352948,1.9127763292465767,3.595982294586948,10.802991483734477
gradcam,resnet,florence,casp,buildings,0.5758449227681144,1.4527896162970215,0.7029097454058048,-0.7715979259894692,0.0451168323975543,0.5066824293452016,-2.672287822278424,-3.2304034507649613,-1.4905851411997826,-1.061038806632711,-1.2755022234043163,-1.3983743352027431,-0.4262023467079121,-0.8722184982659715,0.1583230965823916,-1.1215319247271742,8.555822648991366
gradcam,resnet,florence,casp,forest,-2.995298761495396,-10.080377719332873,-2.476095481602945,-0.5368191774384257,-0.8586337280484657,-0.7001916351069761,-2.4194267084700614,-2.7942818507032623,-10.93130434414213,-1.7194135991454775,-0.8521748707180552,-2.412841395432199,-1.9420516738218088,-0.3870615411817748,-2.459501901848377,-9.073656474442087,4.008117174366886
gradcam,resnet,florence,casp,glacier,-0.1040679694879584,-2.570648491753498,-1.7549921985215486,0.4556825878351827,-1.2672749279943112,-1.8621817365114997,0.9299097175046244,1.3221265833535898,0.3327296907717141,-0.4224449750779886,0.3296005405369717,0.2039581750601542,-0.1828794762126346,-0.9800939660037482,-3.442767880063219,-3.650817849919804,10.917734753150151
gradcam,resnet,florence,casp,mountain,0.076210796301344,-3.312592789861843,-0.8530556253828998,0.5799012177928082,0.2834883649200408,0.2998631235228499,0.7990045639583466,0.0117363334591678,1.7585474192458792,-0.2775354433916066,0.303848591310256,0.0914880211243713,0.3867507780882868,-1.146092063613411,-1.4892690259697725,-2.7052553521956773,3.6320645724255867
gradcam,resnet,florence,casp,sea,-0.336058309119466,-2.065556357057712,-0.469237464620019,0.1355378755367211,-1.114430351437342,-0.6898471335101384,0.9245480725975146,1.0413300652445652,0.0064505454628636,0.9062991648730936,0.5859566572430208,1.535887418789435,0.5997975390290939,-0.4264204144647592,0.276124345558064,-8.787146048287198,12.914607528879378
gradcam,resnet,florence,casp,street,0.7501247536651041,1.6549072503563846,1.6627773904157468,-0.2020097586065861,1.4989225762779772,1.0435719022503638,-2.546285548344235,-1.3869402599769398,-1.027744157427546,1.2175074412888311,0.3581642155566047,-0.3338275772019285,0.654323399405129,2.059014684457582,1.9992997317122456,4.182259689078975,11.262045829914957
gradcam,resnet,florence,iou,buildings,0.5736574022928814,3.3181843517084118,1.7898162605341963,-0.8067127827351699,-0.1927076517358348,-1.262665380186076,-4.015521157053924,-4.659740244849043,-3.2594214739898897,-0.6010988596523257,-1.984217462295771,-2.0923211208271963,-0.3159298187175339,-1.1019916540431651,-1.0195386811629292,0.2765488864260934,16.191135793564168
